RECORD_TYPE,SOURCE_ROWS,UNIQUE_CLIENTS,ACCOUNTS,REPEAT_CLIENTS,REPEAT_ACCOUNTS,REPEAT_CLIENT_SHARE,OBSERVATION_START,OBSERVATION_END,OBSERVED_HORIZON_MONTHS,EXPECTED_ACTIVE_MONTHS_TRUNCATED,EXPECTED_OPEN_MONTHS_TRUNCATED,CURRENT_ACTIVE_CLIENTS,CURRENT_MONTHLY_REVENUE_RUB,CURRENT_MONTHLY_SERVICE_COST_RUB,FIXED_COST_RUB_MONTH,CURRENT_MONTHLY_PROFIT_BEFORE_ACQUISITION_RUB,BANK_IS_CURRENTLY_PROFITABLE,LTV_BEFORE_CAC_ZERO_BALANCE_RUB,PAYBACK_MONTHS_ZERO_BALANCE,UNIT_MARGIN_AFTER_CAC_ZERO_BALANCE_RUB,REQUIRED_NEW_CLIENTS_MONTH_ZERO_BALANCE,TENURE_MONTH,ELIGIBLE_ACCOUNTS,OPEN_ACCOUNTS,ACTIVE_ACCOUNTS,SURVIVAL_RATE,ACTIVE_PROBABILITY,ACTIVE_RATE_AMONG_OPEN,IS_RELIABLE_SAMPLE,NET_CONTRIBUTION_ACTIVE_SERVICE_RUB,NET_CONTRIBUTION_ALL_OPEN_SERVICE_RUB,CUM_NET_CONTRIBUTION_ACTIVE_SERVICE_RUB,CUM_NET_CONTRIBUTION_ALL_OPEN_SERVICE_RUB,CUM_MARGIN_AFTER_CAC_ACTIVE_SERVICE_RUB,CUM_MARGIN_AFTER_CAC_ALL_OPEN_SERVICE_RUB,COST_BASIS,AVERAGE_BALANCE_RUB,EXPECTED_ACTIVE_MONTHS,EXPECTED_OPEN_MONTHS,FEE_REVENUE_LTV_RUB,BALANCE_REVENUE_LTV_RUB,SERVICE_COST_LTV_RUB,MARGIN_BEFORE_CAC_RUB,UNIT_MARGIN_AFTER_CAC_RUB,REQUIRED_NEW_CLIENTS_MONTH,IS_UNIT_ECONOMICS_POSITIVE,OPEN_MONTH,ACTIVE_RATE,MONTH,CLOSED_ACCOUNTS,NEW_ACCOUNTS
SUMMARY,252001.0,20000.0,20125.0,122.0,125.0,0.0061,2024-01-01,2026-05-01,29.0,14.734205454471107,22.749557649867832,100000.0,100000000.0,50000000.0,5000000.0,45000000.0,1.0,7367.102727235553,18.0,2367.102727235553,2113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCENARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Все открытые месяцы,875000.0,14.734205454471107,22.749557649867832,14734.205454471106,107436.91477218516,11374.778824933916,110796.34140172234,105796.34140172234,48.0,1.0,,,,,
SCENARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Все открытые месяцы,900000.0,14.734205454471107,22.749557649867832,14734.205454471106,110506.54090853331,11374.778824933916,113865.96753807049,108865.96753807049,46.0,1.0,,,,,
SCENARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Все открытые месяцы,925000.0,14.734205454471107,22.749557649867832,14734.205454471106,113576.16704488145,11374.778824933916,116935.59367441863,111935.59367441863,45.0,1.0,,,,,
SCENARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Все открытые месяцы,950000.0,14.734205454471107,22.749557649867832,14734.205454471106,116645.79318122962,11374.778824933916,120005.21981076681,115005.21981076681,44.0,1.0,,,,,
SCENARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Все открытые месяцы,975000.0,14.734205454471107,22.749557649867832,14734.205454471106,119715.41931757775,11374.778824933916,123074.84594711493,118074.84594711493,43.0,1.0,,,,,
SCENARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Все открытые месяцы,1000000.0,14.734205454471107,22.749557649867832,14734.205454471106,122785.04545392591,11374.778824933916,126144.4720834631,121144.4720834631,42.0,1.0,,,,,
COHORT,,,507.0,,,,,,,,,,,,,,,,,,,0.0,,,266.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.52465483234714,,,
COHORT,,,504.0,,,,,,,,,,,,,,,,,,,1.0,,,345.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6845238095238095,,,
COHORT,,,495.0,,,,,,,,,,,,,,,,,,,2.0,,,349.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.705050505050505,,,
COHORT,,,475.0,,,,,,,,,,,,,,,,,,,3.0,,,329.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6926315789473684,,,
COHORT,,,465.0,,,,,,,,,,,,,,,,,,,4.0,,,329.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.7075268817204301,,,
COHORT,,,459.0,,,,,,,,,,,,,,,,,,,5.0,,,315.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6862745098039216,,,
COHORT,,,456.0,,,,,,,,,,,,,,,,,,,6.0,,,315.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6907894736842105,,,
COHORT,,,453.0,,,,,,,,,,,,,,,,,,,7.0,,,317.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6997792494481236,,,
COHORT,,,450.0,,,,,,,,,,,,,,,,,,,8.0,,,313.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6955555555555556,,,
COHORT,,,445.0,,,,,,,,,,,,,,,,,,,9.0,,,311.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.698876404494382,,,
COHORT,,,441.0,,,,,,,,,,,,,,,,,,,10.0,,,289.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.655328798185941,,,
COHORT,,,439.0,,,,,,,,,,,,,,,,,,,11.0,,,297.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6765375854214123,,,
COHORT,,,430.0,,,,,,,,,,,,,,,,,,,12.0,,,288.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6697674418604651,,,
COHORT,,,420.0,,,,,,,,,,,,,,,,,,,13.0,,,290.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6904761904761905,,,
COHORT,,,415.0,,,,,,,,,,,,,,,,,,,14.0,,,272.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.655421686746988,,,
COHORT,,,409.0,,,,,,,,,,,,,,,,,,,15.0,,,260.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6356968215158925,,,
COHORT,,,405.0,,,,,,,,,,,,,,,,,,,16.0,,,238.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.5876543209876544,,,
COHORT,,,399.0,,,,,,,,,,,,,,,,,,,17.0,,,243.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6090225563909775,,,
COHORT,,,395.0,,,,,,,,,,,,,,,,,,,18.0,,,249.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6303797468354431,,,
COHORT,,,386.0,,,,,,,,,,,,,,,,,,,19.0,,,233.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6036269430051814,,,
COHORT,,,380.0,,,,,,,,,,,,,,,,,,,20.0,,,227.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.5973684210526315,,,
COHORT,,,372.0,,,,,,,,,,,,,,,,,,,21.0,,,224.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6021505376344086,,,
COHORT,,,367.0,,,,,,,,,,,,,,,,,,,22.0,,,227.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6185286103542235,,,
COHORT,,,360.0,,,,,,,,,,,,,,,,,,,23.0,,,229.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6361111111111111,,,
COHORT,,,353.0,,,,,,,,,,,,,,,,,,,24.0,,,212.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6005665722379604,,,
COHORT,,,342.0,,,,,,,,,,,,,,,,,,,25.0,,,213.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6228070175438597,,,
COHORT,,,339.0,,,,,,,,,,,,,,,,,,,26.0,,,225.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6637168141592921,,,
COHORT,,,334.0,,,,,,,,,,,,,,,,,,,27.0,,,206.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6167664670658682,,,
COHORT,,,332.0,,,,,,,,,,,,,,,,,,,28.0,,,209.0,,,,,,,,,,,,,,,,,,,,,,2024-01-01,0.6295180722891566,,,
COHORT,,,666.0,,,,,,,,,,,,,,,,,,,0.0,,,379.0,,,,,,,,,,,,,,,,,,,,,,2024-02-01,0.5690690690690691,,,
COHORT,,,662.0,,,,,,,,,,,,,,,,,,,1.0,,,470.0,,,,,,,,,,,,,,,,,,,,,,2024-02-01,0.7099697885196374,,,
COHORT,,,632.0,,,,,,,,,,,,,,,,,,,2.0,,,443.0,,,,,,,,,,,,,,,,,,,,,,2024-02-01,0.7009493670886076,,,
COHORT,,,614.0,,,,,,,,,,,,,,,,,,,3.0,,,422.0,,,,,,,,,,,,,,,,,,,,,,2024-02-01,0.6872964169381107,,,
COHORT,,,592.0,,,,,,,,,,,,,,,,,,,4.0,,,416.0,,,,,,,,,,,,,,,,,,,,,,2024-02-01,0.7027027027027027,,,
COHORT,,,587.0,,,,,,,,,,,,,,,,,,,5.0,,,415.0,,,,,,,,,,,,,,,,,,,,,,2024-02-01,0.706984667802385,,,
COHORT,,,576.0,,,,,,,,,,,,,,,,,,,6.0,,,372.0,,,,,,,,,,,,,,,,,,,,,,2024-02-01,0.6458333333333334,,,
COHORT,,,569.0,,,,,,,,,,,,,,,,,,,7.0,,,382.0,,,,,,,,,,,,,,,,,,,,,,2024-02-01,0.671353251318102,,,
COHORT,,,559.0,,,,,,,,,,,,,,,,,,,8.0,,,378.0,,,,,,,,,,,,,,,,,,,,,,2024-02-01,0.6762075134168157,,,
COHORT,,,553.0,,,,,,,,,,,,,,,,,,,9.0,,,373.0,,,,,,,,,,,,,,,,,,,,,,2024-02-01,0.674502712477396,,,
COHORT,,,545.0,,,,,,,,,,,,,,,,,,,10.0,,,359.0,,,,,,,,,,,,,,,,,,,,,,2024-02-01,0.6587155963302752,,,
COHORT,,,531.0,,,,,,,,,,,,,,,,,,,11.0,,,338.0,,,,,,,,,,,,,,,,,,,,,,2024-02-01,0.6365348399246704,,,
COHORT,,,517.0,,,,,,,,,,,,,,,,,,,12.0,,,330.0,,,,,,,,,,,,,,,,,,,,,,2024-02-01,0.6382978723404256,,,
COHORT,,,508.0,,,,,,,,,,,,,,,,,,,13.0,,,326.0,,,,,,,,,,,,,,,,,,,,,,2024-02-01,0.6417322834645669,,,
