TENURE_MONTH,ELIGIBLE_ACCOUNTS,OPEN_ACCOUNTS,ACTIVE_ACCOUNTS,SURVIVAL_RATE,ACTIVE_PROBABILITY,ACTIVE_RATE_AMONG_OPEN,IS_RELIABLE_SAMPLE,NET_CONTRIBUTION_ACTIVE_SERVICE_RUB,NET_CONTRIBUTION_ALL_OPEN_SERVICE_RUB,CUM_NET_CONTRIBUTION_ACTIVE_SERVICE_RUB,CUM_NET_CONTRIBUTION_ALL_OPEN_SERVICE_RUB,CUM_MARGIN_AFTER_CAC_ACTIVE_SERVICE_RUB,CUM_MARGIN_AFTER_CAC_ALL_OPEN_SERVICE_RUB
17,8212,6058,3828,0.7377009254749147,0.4661471018022406,0.6318917134367779,1,233.0735509011203,97.29663906478328,5108.740477486629,2515.550822446329,108.74047748662906,-2484.449177553671
18,7300,5272,3377,0.7221917808219178,0.4626027397260274,0.6405538694992413,1,231.3013698630137,101.50684931506845,5340.041847349643,2617.0576717613976,340.0418473496429,-2382.9423282386024
19,6332,4479,2816,0.7073594440934934,0.44472520530638027,0.6287117660192008,1,222.36260265319012,91.04548325963356,5562.404450002833,2708.103155021031,562.4044500028331,-2291.896844978969
20,5620,3936,2451,0.700355871886121,0.43612099644128116,0.6227134146341463,1,218.06049822064057,85.94306049822063,5780.464948223474,2794.0462155192517,780.4649482234736,-2205.9537844807483
21,4996,3435,2125,0.6875500400320256,0.4253402722177742,0.61863173216885,1,212.6701361088871,81.56525220176144,5993.135084332361,2875.611467721013,993.1350843323607,-2124.388532278987
22,4333,2935,1793,0.6773597969074544,0.41380106162012464,0.6109028960817717,1,206.90053081006232,75.12116316639742,6200.035615142423,2950.7326308874103,1200.035615142423,-2049.2673691125897
23,3689,2447,1484,0.6633233938736786,0.40227703984819735,0.6064568859828361,1,201.1385199240987,70.61534291135808,6401.174135066522,3021.347973798768,1401.1741350665216,-1978.6520262012318
24,3096,2020,1200,0.6524547803617571,0.3875968992248062,0.594059405940594,1,193.79844961240312,61.36950904392768,6594.972584678924,3082.717482842696,1594.9725846789242,-1917.282517157304
25,2516,1589,953,0.6315580286168522,0.3787758346581876,0.5997482693517936,1,189.3879173290938,62.99682034976149,6784.360502008018,3145.7143031924575,1784.3605020080176,-1854.2856968075425
26,1851,1161,711,0.6272285251215559,0.3841166936790924,0.6124031007751938,1,192.0583468395462,70.50243111831446,6976.418848847564,3216.216734310772,1976.4188488475638,-1783.7832656892278
27,1173,729,433,0.6214833759590793,0.3691389599317988,0.5939643347050755,1,184.5694799658994,58.39727195225913,7160.988328813463,3274.614006263031,2160.9883288134633,-1725.3859937369689
28,507,332,209,0.6548323471400395,0.41222879684418146,0.6295180722891566,1,206.11439842209072,84.8126232741617,7367.102727235554,3359.4266295371926,2367.102727235554,-1640.5733704628074
